"Actividades","Ciudad","Comercial","Compañía","Correo electrónico","Nombre completo","País","Teléfono"
"","","","","ana.rodriguez@TechSolutions.com","Ana Rodriguez user","","'+34 911 22 33 44"
"","","","","ana.rodriguez@TechSolutions.com","Ana Rodríguez","","911 223 344"
"","","","","carlos@TechSolutions.com","Carlos Núñez","","678 445 221"
"","Madrid","","","compras@comphardware.com","CompHardware","España","'+34 933 22 15 59"
"","Candasnos","","","info@company.esexample.com","ES Company","España","'+34 612 34 56 78"
"","","","TechSolutions S.L","elena.ortega@TechSolutions.com","Elena Ortega","","644 556 778"
"","","","","elena.ortega@TechSolutions.com","Elena Ortega user","","'+34 644 55 67 78"
"","","","","javier@gmail.com","Javier Morales","","699 123 778"
"","","","","Jorge@TechSolutions.com","Jorge Hernandez","",""
"","","","TechSolutions S.L","laura.martinez@TechSolutions.com","Laura Martinez","","612 345 678"
"","","","","laura.martinez@TechSolutions.com","Laura Martinez user","","'+34 612 34 56 78"
"","","","","manuelvazquez@TechSolutions.com","Manuel Vazquez","",""
"","","","","maria@gmail.com","María López","","611 982 334"
"","","","","Miguel.Gomez@TechSolutions.com","Miguel Gomez user","","'+34 678 90 12 34"
"","","","TechSolutions S.L","Miguel.Gomez@TechSolutions.com","Miguel Gómez","","678 901 234"
"","Chicago","","","chicago@yourcompany.com","My Company (Chicago)","Estados Unidos","'+1 312 349 3030"
"","","","","pablo.sanchez@TechSolutions.com","Pablo Sanchez user","","'+34 699 11 22 33"
"","","","TechSolutions S.L","pablo.sanchez@TechSolutions.com","Pablo Sánchez","","699 112 233"
"","","","","paco@TechSolutions.com","Paco Cortes","",""
"","SANTIAGO","","","info@servinstal.com","ServiciosInstal","Chile","911 445 882"
"","Valencia","","","ventas@softdistrib.com","SoftDistrib","España","'+34 954 77 89 90"
"","Zubieta","Mitchell Admin","TechSolutions S.L","admin@yourcompany.example.com","Tech Solutions, Mitchell Admin","España","943 36 46 00"
"","","","","","TechSolutions S.L","España",""
"","Bayonne","","","joel.willis63@example.com","YourCompany, Joel Willis","Estados Unidos","(683)-556-5104"
"","","","","oiwjdowd","kjdwindiw","","wkdnkowmdowm"
"","","","","wfwefwf","wwfwfwf","","wwfwf"
